c1,c2,c3,c4,c5,c6,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,b1,b2,b3,b4,posture
50,80,53,31,42,24,0,31,37,46,44,36,26,11,20,23,23,23,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
49,80,53,31,42,24,2,31,38,46,44,35,25,11,20,23,23,23,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
50,81,53,31,42,24,1,31,37,46,44,35,25,10,20,23,23,22,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
50,81,52,31,42,24,3,31,38,46,45,36,24,11,21,23,24,23,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
47,79,50,30,40,23,3,30,38,46,44,35,24,9,21,24,25,23,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
45,76,49,31,42,24,0,29,35,42,43,31,20,5,20,24,25,24,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
45,76,49,31,42,24,0,29,34,42,43,32,22,7,20,24,26,25,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
46,77,50,31,42,24,0,29,36,43,44,33,23,10,22,25,26,26,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
46,77,50,31,43,25,0,30,36,43,44,34,23,10,22,24,26,26,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
46,76,49,31,43,25,0,30,36,43,44,34,24,10,22,24,26,26,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
61,66,33,19,45,48,16,40,46,54,57,48,46,0,11,41,52,60,61,51,44,0,16,38,40,31,46,53,39,28,22,98,96,94,94,1
61,66,35,19,45,49,15,40,46,53,57,48,45,0,11,41,52,60,60,51,44,0,16,38,40,31,46,53,39,28,22,98,96,94,94,1
61,66,33,18,45,49,16,40,46,54,58,48,46,0,11,41,52,60,60,51,44,0,16,38,40,32,46,53,39,28,22,98,96,95,94,1
61,66,34,19,46,49,16,40,46,54,58,48,46,0,11,41,52,60,61,52,44,0,16,38,40,32,47,54,40,28,21,98,96,95,94,1
61,66,35,19,46,49,16,40,46,54,58,48,46,0,11,41,52,60,61,52,44,0,16,39,40,32,47,53,40,28,22,98,96,95,94,1
61,66,33,19,46,49,16,40,46,54,58,48,46,0,11,43,52,60,61,52,44,0,16,38,40,32,47,53,40,28,22,98,96,95,94,1
60,66,33,19,46,49,16,40,46,54,58,48,46,0,11,41,52,60,61,52,44,0,16,38,40,32,47,54,40,29,22,98,96,95,94,1
61,66,33,19,46,49,16,40,46,54,58,48,46,0,11,42,52,60,61,52,44,0,16,39,41,32,47,53,40,29,22,98,96,95,94,1
61,66,33,19,45,48,16,40,46,54,58,48,46,0,11,41,52,60,61,51,44,0,16,39,40,32,47,54,39,28,22,98,96,95,94,1
61,66,33,19,45,49,16,40,46,54,58,48,46,0,12,41,52,60,61,52,44,0,16,38,40,31,47,54,40,28,22,98,96,95,94,1
61,66,33,19,46,49,17,40,46,54,58,48,46,0,11,41,52,60,61,52,44,0,16,38,40,32,47,54,40,29,22,98,96,95,94,1
61,66,33,19,45,49,17,40,46,54,58,48,46,0,12,41,52,60,61,52,45,0,16,38,40,31,47,54,40,28,22,98,96,95,94,1
61,66,32,19,45,49,17,40,46,54,58,48,46,0,12,41,52,60,61,52,44,0,16,38,40,31,47,54,40,29,22,98,96,94,94,1
61,66,32,19,45,49,17,40,46,54,58,48,46,0,11,41,52,60,61,52,45,0,16,39,40,31,47,54,40,29,22,98,97,95,94,1
61,66,32,19,46,49,17,40,46,54,58,48,46,0,11,42,52,60,61,52,45,0,16,38,40,31,47,54,40,29,22,98,96,94,94,1
61,66,32,19,46,49,16,40,46,54,58,48,46,0,12,41,52,60,61,52,44,0,16,38,40,31,47,53,40,28,22,98,96,94,94,1
